source_index,feature_id,height_m,center_x_m,center_y_m,min_x_m,min_y_m,max_x_m,max_y_m,highlighted
51,411919,11.31,631.32149981,-8108.64221539,627.12117349,-8112.75350586,635.52182613,-8104.53092491,false
52,411592,16.86,339.04173041,-7681.57337786,330.99621641,-7694.2410731,347.08724442,-7668.90568263,false
53,411524,11.53,225.01689169,-7612.95637085,171.38468463,-7652.83647976,278.64909875,-7573.07626193,false
54,385557,17.68,711.78896588,-7828.70858303,698.65601195,-7840.54209036,724.92191981,-7816.87507569,false
55,385298,12.64,128.10502548,-7449.01185176,122.57523448,-7461.04083551,133.63481648,-7436.982868,false
56,333524,9.15,547.75211075,-8053.89484654,543.09375779,-8063.50530391,552.4104637,-8044.28438916,false
57,333131,12.98,136.46512339,-7501.37551142,120.03653107,-7521.91727736,152.89371572,-7480.83374547,false
58,307084,13.1,420.33169338,-7966.258822,413.97555056,-7977.61859422,426.68783621,-7954.89904978,false
59,307023,16.01,393.72175504,-7882.53676068,385.1167802,-7897.90484707,402.32672988,-7867.1686743,false
60,280862,20.9,459.67718202,-7681.38414966,431.16609154,-7692.48587946,488.18827249,-7670.28241985,false
61,254899,13.39,561.60658758,-7852.53061857,557.94443985,-7858.72983754,565.26873532,-7846.33139961,false
62,254884,13.37,535.63328748,-7821.21245652,527.41664464,-7824.7127378,543.84993031,-7817.71217524,false
63,254848,13.54,426.5994774,-7793.47666987,417.44414009,-7813.1551226,435.75481472,-7773.79821714,false
64,254795,12.03,501.87923815,-7692.6551715,493.62937533,-7698.35867166,510.12910098,-7686.95167135,false
65,228924,8.36,514.96361609,-7876.82871744,485.94859536,-7904.05542445,543.97863683,-7849.60201043,false
66,202680,13.18,476.30089732,-7970.62639287,463.86178923,-7977.51938422,488.74000542,-7963.73340151,false
67,202677,14.92,696.91577456,-7968.02201736,686.18212838,-7980.55830089,707.64942075,-7955.48573383,false
68,176373,16.31,382.32823446,-7792.57306302,363.43379708,-7809.55593965,401.22267184,-7775.59018639,false
69,150642,13.49,499.83587638,-8055.79072326,489.00762149,-8061.95707785,510.66413128,-8049.62436867,false
70,150309,20.59,146.59049386,-7538.29964703,131.56504989,-7555.06007195,161.61593783,-7521.53922212,false
71,150236,14.28,168.71206312,-7404.30844442,158.94700242,-7411.61234154,178.47712383,-7397.0045473,false
72,99383,14.62,389.34571507,-7977.22500002,366.20779008,-7983.4520528,412.48364006,-7970.99794724,false
73,99346,19.84,560.72061189,-7969.32036427,533.65738469,-7983.96107843,587.7838391,-7954.67965011,false
74,98616,13.4,384.00631147,-7750.89670023,364.4105064,-7774.37364738,403.60211653,-7727.41975308,false
75,203174,19.86,822.5882643,-8585.66696414,810.23625957,-8603.25597688,834.94026903,-8568.07795139,false
76,281363,11.18,624.74563976,-8349.58318752,605.83269621,-8379.72834913,643.65858331,-8319.4380259,false
77,412031,12.58,846.35793853,-8247.13999147,840.65725309,-8253.02450373,852.05862397,-8241.2554792,false
78,412029,10.27,826.28354649,-8245.65550267,817.04200103,-8250.08272299,835.52509195,-8241.22828235,false
79,386103,13.27,815.73717241,-8543.75563881,805.92294606,-8549.60059492,825.55139877,-8537.9106827,false
80,386091,15.52,767.20323071,-8529.5847242,756.14852145,-8535.89196656,778.25793997,-8523.27748183,false
81,359817,12.67,825.36966273,-8211.01325329,820.24982242,-8216.66035473,830.48950304,-8205.36615185,false
82,333900,11.94,852.82413562,-8536.27763106,847.92872243,-8544.33169268,857.7195488,-8528.22356944,false
83,333665,12.06,559.93365638,-8261.59017878,547.60211928,-8277.31301919,572.26519348,-8245.86733837,false
84,281368,13.33,780.66880406,-8328.80691488,774.36544667,-8338.39253151,786.97216145,-8319.22129825,false
85,281342,12.42,829.70342135,-8294.4054361,823.50945703,-8299.2643571,835.89738567,-8289.54651511,false
86,255116,13.19,755.28340621,-8186.79073366,751.04304266,-8212.35926879,759.52376976,-8161.22219852,false
87,229206,11.37,837.66455808,-8212.99762414,832.85358864,-8217.45898023,842.47552752,-8208.53626805,false
88,202873,11.63,745.86417086,-8204.90940296,741.4485582,-8218.18933752,750.27978351,-8191.62946841,false
89,177032,18.66,771.25128392,-8578.35484926,755.36448663,-8589.24267706,787.1380812,-8567.46702146,false
90,176967,16.24,821.75591725,-8499.15993287,808.40915667,-8511.74120226,835.10267782,-8486.57866347,false
91,176814,12.42,574.79225718,-8341.14132399,562.93812148,-8354.14677747,586.64639288,-8328.13587051,false
92,151000,11.84,818.8560351,-8520.90704741,810.36095101,-8525.60589976,827.3511192,-8516.20819506,false
93,101680,10.51,835.4229885,-8538.88986401,831.31997209,-8547.63486106,839.52600492,-8530.14486696,false
94,100651,9.06,813.9267073,-8296.46338683,809.44797373,-8300.67786121,818.40544088,-8292.24891246,false
95,100599,10.53,848.10243505,-8288.84540982,843.69271145,-8299.46107098,852.51215866,-8278.22974865,false
96,411859,9.56,895.32982397,-8034.34806461,892.29351237,-8039.90234819,898.36613557,-8028.79378103,false
97,176601,12.28,923.56553206,-8087.02400155,914.55623568,-8091.76214395,932.57482845,-8082.28585914,false
98,150672,14.95,1030.12280857,-8081.83663137,1022.57746443,-8086.72864879,1037.66815271,-8076.94461395,false
99,255676,9.92,1805.11970279,-8824.78188674,1801.17278172,-8827.83620363,1809.06662387,-8821.72756985,false
100,103052,12.92,1810.84898819,-8851.23840632,1800.76022703,-8858.12977722,1820.93774935,-8844.34703542,false
101,102978,12.52,1815.16064559,-8833.95897148,1809.98740528,-8838.90303695,1820.33388589,-8829.01490601,false
102,412434,10.3,1453.14886512,-8725.24675554,1446.17639366,-8731.25068124,1460.12133659,-8719.24282985,false
103,360479,11.74,1321.52529268,-8907.99956398,1315.5821656,-8922.02203682,1327.46841976,-8893.97709114,false
104,177345,10.95,1242.51985451,-8912.40965773,1237.6178658,-8922.56904653,1247.42184322,-8902.25026894,false
105,100502,12.19,1123.84143253,-8252.03662974,1117.86404451,-8258.97186752,1129.81882055,-8245.10139196,false
106,386354,10.79,1154.2911451,-8823.28346983,1150.24984241,-8830.12922633,1158.33244778,-8816.43771334,false
107,177383,11.75,1042.02714355,-8959.34172845,1036.44422638,-8968.52601482,1047.61006072,-8950.15744209,false
108,151024,12.59,897.96117685,-8538.49914687,892.21762939,-8544.60981632,903.70472431,-8532.38847742,false
109,412613,12.27,1430.5893996,-8913.93302026,1425.88840723,-8920.54432148,1435.29039197,-8907.32171904,false
